[Decode Mode] Current Length of sequences is modified into input_len
Using synthesis trace
ACT: 0.844055GB, Weight: 7.47876GB, Cache: 16.1406GB
Total: 24.4634GB
-----------------------------------
-------------start-----------------
-----------------------------------
Total: 3712330.399580
./data//llama3_8B_synthesis_16400_128_GPU+PIM_N1_D4_TP1_DP4_maxbatch64_maxprocess524288_iter1_skew0_precision_byte1_parallel_execution1_ramul_decode.csv
LLM | 3712.3us  | 0 - 3712.3 | tensor(1, 128256) -> tensor(16, 128256) | ACT: 10.745mJ  | RD: 195.18mJ  | WR: 0.8175mJ  | all_ACT: 10.008mJ  | all_RD: 67.453mJ  | all_WR: 0mJ  | MAC: 83.193mJ  | Total: 284.2mJ | compute util: 0, memory util: 0, Op/B 14.863 | qk=133us softmax=0.27025us score_v=2259.9us kv_quant=0.26214us | pim_rb=266us pim_pe=1262.5us | qk_rb=133us qk_pe=66.499us sv_rb=133us sv_pe=1196us
	Embedding_layer | 0us  | 0 - 0 | tensor(1, 128256) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
	decoder_0 | 116.01us  | 0 - 116.01 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.33579mJ  | RD: 6.0993mJ  | WR: 0.025547mJ  | all_ACT: 0.31275mJ  | all_RD: 2.1079mJ  | all_WR: 0mJ  | MAC: 2.5998mJ  | Total: 8.8813mJ | compute util: 0, memory util: 0, Op/B 14.863 | qk=4.1562us softmax=0.0084454us score_v=70.621us kv_quant=0.008192us | pim_rb=8.3124us pim_pe=39.452us | qk_rb=4.1562us qk_pe=2.0781us sv_rb=4.1562us sv_pe=37.373us
		input_layer_norm | 0.016896us  | 0 - 0.016896 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
		attention | 83.134us  | 0.016896 - 83.151 | tensor(16, 4096) -> tensor(16, 4096) | ACT: 0.087497mJ  | RD: 1.1715mJ  | WR: 0.0045619mJ  | all_ACT: 0.31275mJ  | all_RD: 2.1079mJ  | all_WR: 0mJ  | MAC: 1.3032mJ  | Total: 3.6842mJ | compute util: 0, memory util: 0, Op/B 9.7233 | qk=4.1562us softmax=0.0084454us score_v=70.621us kv_quant=0.008192us | pim_rb=8.3124us pim_pe=39.452us | qk_rb=4.1562us qk_pe=2.0781us sv_rb=4.1562us sv_pe=37.373us
			attn_qkv_proj | 4.5915us  | 0.016896 - 4.6084 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0, memory util: 0, Op/B 31.793
				Linear | 4.5915us  | 0.016896 - 4.6084 | tensor(16, 4096) -> tensor(16, 6144) | ACT: 0.039094mJ  | RD: 0.70254mJ  | WR: 0.0027372mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0.18522mJ  | Total: 0.74437mJ | compute util: 0.050112, memory util: 0.68958, Op/B 31.793, GPU
			self_attention | 74.786us  | 4.6084 - 79.394 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.31275mJ  | all_RD: 2.1079mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 2.4207mJ | compute util: 0, memory util: 0, Op/B 8 | qk=4.1562us softmax=0.0084454us score_v=70.621us kv_quant=0.008192us | pim_rb=8.3124us pim_pe=39.452us | qk_rb=4.1562us qk_pe=2.0781us sv_rb=4.1562us sv_pe=37.373us
				AttentionSplit | 0us  | 4.6084 - 4.6084 | tensor(16, 6144) -> tensor(0, 6144) tensor(16, 6144) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0
				AttentionSum | 0us  | 4.6084 - 4.6084 | tensor(0, 6144) -> tensor(0, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0mJ  | all_RD: 0mJ  | all_WR: 0mJ  | MAC: 0mJ  | Total: 0mJ | compute util: 0, memory util: 0, Op/B 0, GPU
				AttentionGen | 74.786us  | 4.6084 - 79.394 | tensor(16, 6144) -> tensor(16, 4096) | ACT: 0mJ  | RD: 0mJ  | WR: 0mJ  | all_ACT: 0.31275mJ  | all_RD: 2.1079mJ  | all_WR: 0mJ  | MAC: 0.99454mJ  | Total: 2.4207mJ | compute util: 0.22586, memory util: 0.056464, Op/B 8, PIM | qk=4.1562us softmax=0.0084454us score_v=70.621us kv_quant=0.008192us | pim_rb=8.3124us pim_pe=39.452us | qk_rb=4.1562us qk_pe=2.0781us sv_rb=4.1562us sv_pe=37.373us
